Category,AUC_mean,AUC_std,AP_mean,AP_std
alt.atheism,0.6562441464318822,0.011004639187541448,0.971423639935107,0.000805888173665919
comp.graphics,0.6589355822138055,0.013283252662714235,0.9676057628137192,0.0013463208954581833
comp.os.ms-windows.misc,0.7488970875830082,0.006102686825849687,0.9735701346213567,0.0006457266661717933
comp.sys.ibm.pc.hardware,0.7801961141599497,0.01568833681644279,0.9791186139714319,0.00154029214244436
comp.sys.mac.hardware,0.6987029341163943,0.00804684281120913,0.968481638699003,0.0006170013772837849
comp.windows.x,0.8135562401675702,0.006051312560348458,0.9819145921677075,0.0005362116045099917
misc.forsale,0.6509502473630169,0.008738710289938752,0.9644665179442804,0.0010398619822503804
rec.autos,0.5898992376115414,0.01170526453799373,0.9521489775004524,0.0009485646818067278
rec.motorcycles,0.5925117950278447,0.010951348197511845,0.9554144967280539,0.0010204650176686698
rec.sport.baseball,0.7483685454503733,0.012037491383302713,0.9690835357655644,0.001160773180670338
rec.sport.hockey,0.6959396950247482,0.023281451174357697,0.9669872325542699,0.0022461599611409877
sci.crypt,0.6265351808443176,0.00785898035031911,0.9578113577680906,0.0008108871912231015
sci.electronics,0.6015802171849643,0.012899536628456049,0.9590568892738534,0.0012805570646849149
sci.med,0.6114091093105947,0.006856966420324661,0.9587430289960676,0.0005194228177046638
sci.space,0.6009785334230322,0.01376074036342904,0.9570883046942653,0.0012578159396499807
soc.religion.christian,0.76079838497224,0.006285967842375512,0.9744034396596263,0.0007153712527934144
talk.politics.guns,0.636108973336931,0.00785047002805938,0.9643212854383773,0.0005983360249556273
talk.politics.mideast,0.6938445494332981,0.014000437669323006,0.9703314917109938,0.0011325987548579902
talk.politics.misc,0.6479216730241824,0.007278951253307324,0.9725010336530631,0.0005747912026363529
talk.religion.misc,0.6656895012998411,0.010136784047501322,0.9781895482852843,0.0006018540738053264
