Category,AUC_Base_Mean,AUC_Base_Std,AUC_OnlyRat_Mean,AUC_OnlyRat_Std
alt.atheism,0.610514705882353,0.01979921925341964,0.4990441176470588,0.08654339921736888
comp.graphics,0.4122344322344322,0.13918257990261326,0.5004395604395604,0.07694135488409769
comp.os.ms-windows.misc,0.5140923374425912,0.06841951045346656,0.44737732656514384,0.06352278449089731
comp.sys.ibm.pc.hardware,0.5401256949480299,0.12976575895266795,0.43272903069857377,0.06389884058464648
comp.sys.mac.hardware,0.519565753762645,0.11636199380948062,0.4903034789045152,0.041767570347650274
comp.windows.x,0.46522038567493107,0.13022274965284714,0.4476584022038567,0.08877443416401248
misc.forsale,0.4303785103785104,0.1223131328764642,0.477997557997558,0.07402588744284086
rec.autos,0.5077823691460055,0.05120489322819732,0.47995867768595046,0.05374998126026852
rec.motorcycles,0.4459545454545455,0.06256090420971544,0.5018181818181817,0.06272591401690529
rec.sport.baseball,0.5013019643672909,0.13352760047451528,0.4809502055733212,0.026404336084223302
rec.sport.hockey,0.5665454545454546,0.11425130431286147,0.4695454545454546,0.06828458164848845
sci.crypt,0.5108268615806304,0.0975827596496584,0.4383965280950205,0.0333277155323293
sci.electronics,0.4703408266860044,0.10434439120568811,0.45554749818709206,0.04655665470623148
sci.med,0.4629017447199265,0.12748507482361376,0.4881083562901745,0.1042306725570694
sci.space,0.43353994490358116,0.061228783145288304,0.4793388429752066,0.034914630933052034
soc.religion.christian,0.5257272727272728,0.13586213843877556,0.48549999999999993,0.12333623330668486
talk.politics.guns,0.518543956043956,0.03747478321334026,0.5268956043956043,0.07479687100143213
talk.politics.mideast,0.5824734042553191,0.1136684952926335,0.4778989361702128,0.0702287014476044
talk.politics.misc,0.5102087286527515,0.06361525285424469,0.5067172675521822,0.08859725395027976
talk.religion.misc,0.4235827664399093,0.05022355809490114,0.4971655328798185,0.07163971958922503
